clo_code,course_code,description,pi_code,plo_code,assessment_level,bloom_level,weight,keywords,assessment_methods
CLO 3_ME2257,ME2257,"Có tư duy tính toán, thiết kế, lắp đặt, vận hành hệ thống thủy lực và khí nén",PI 6.2,PLO6,PI 6.2,3,1.0,"['toán', 'tính', 'hành', 'thiết', 'thống', 'thủy']",[]
CLO 4_ME2257,ME2257,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_,,"Hiểu rõ thế nào mạch điện ( 1 pha, 3 pha, các cách mắc nối trong mạch)",PI 4.1,PLO4,PI 4.1,2,1.0,"['điện', 'cách', 'mạch', 'hiểu']",[]
CLO 2_,,Sử dụng kiến thức mạch điện áp dụng điều khiển động cơ điện,PI 5.2,PLO5,PI 5.2,3,1.0,"['kiến', 'động', 'điều', 'mạch', 'dụng', 'thức', 'khiển', 'điện']",[]
CLO 3_,,"Có tư duy tổng quan về mạch điện, động cơ điện",PI 6.1,PLO6,PI 6.1,2,1.0,"['động', 'mạch', 'quan', 'điện', 'tổng']",[]
CLO 4_,,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_,,"Có kiến thức tổng quan về Diode bán dẫn, nguồn cung cấp.",PI 4.1,PLO4,PI 4.1,2,1.0,"['nguồn', 'diode', 'thức', 'cung', 'quan', 'kiến', 'tổng']",[]
CLO 2_,,"Có kiến thức về cấu tạo, nguyên lý hoạt động của Transistor lưỡng cực; Có kiến thức về cấu tạo nguyên tắc hoạt động của mạch khuếch đại thuật toán OP AMP.",PI 5.2,PLO5,PI 5.2,2,1.0,"['động', 'kiến', 'toán', 'thuật', 'lưỡng', 'hoạt', 'mạch', 'khuếch', 'transistor', 'thức']",[]
CLO 3_,,"Các kiến thức tổng quan về mạch số ( cổng logic, định lý, các phép toán logic .. ).",PI 6.1,PLO6,PI 6.1,2,1.0,"['cổng', 'toán', 'mạch', 'phép', 'thức', 'logic', 'quan', 'định', 'kiến', 'tổng']",[]
CLO 4_,,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_ME2258,ME2258,"Hướng dẫn sử dụng các thiết bị, nguyên tắc an toàn lao động trong phòng thực hành",PI 5.1,PLO5,PI 5.1,3,1.0,"['động', 'thực', 'hướng', 'phòng', 'dụng', 'thiết', 'hành', 'toàn', 'nguyên']",[]
CLO 2_ME2258,ME2258,"Thực hành nhận biết, đo kiểm mạch điện, diode, Transistor, nguồn; Thực hành khảo sát cổng logic, giải mã và mã hoá logic",PI 5.2,PLO5,PI 5.2,2,1.0,"['nguồn', 'giải', 'diode', 'cổng', 'nhận', 'mạch', 'transistor', 'khảo', 'hành', 'biết']",[]
CLO 3_ME2258,ME2258,"Phân tích các lỗi sai, hỏng hóc và cách khắc phục trên các mạch điện ô tô",PI 11.1,PLO11,PI 11.1,4,1.0,"['tích', 'phục', 'mạch', 'phân', 'khắc', 'hỏng', 'cách', 'điện', 'trên']",[]
CLO 4_ME2258,ME2258,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_TET2213,TET2213,Hiểu rõ được những vấn đề liên quan về môi chất,PI 4.1,PLO4,PI 4.1,2,1.0,"['hiểu', 'những', 'chất', 'quan', 'liên']",[]
CLO 2_TET2213,TET2213,"Sử dụng và lựa chọn được một chu trình nhiệt động phù hợp, đúng phương thức truyền nhiệt (dẫn nhiệt, trao đổi nhiệt đối lưu, trao đổi nhiệt bức xạ)",PI 5.2,PLO5,PI 5.2,3,1.0,"['động', 'trao', 'phương', 'đúng', 'nhiệt', 'dụng', 'thức', 'trình', 'chọn', 'truyền']",[]
CLO 3_TET2213,TET2213,Có tư duy tính toán được hệ số truyền nhiệt và tính được sơ bộ diện tích thiết bị trao đổi nhiệt,PI 10.2,PLO10,PI 10.2,3,1.0,"['toán', 'trao', 'tính', 'tích', 'diện', 'nhiệt', 'thiết', 'truyền']",[]
CLO 4_TET2213,TET2213,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.1,PLO12,PI 12.1,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_ME2256,ME2256,Hiểu rõ được đặc điểm và lợi ích khi sử dụng CAE,PI 4.2,PLO4,PI 4.2,2,1.0,"['điểm', 'hiểu', 'dụng']",[]
CLO 2_ME2256,ME2256,"Sử dụng và lựa chọn đúng phương pháp phân tích, xây dựng mô hình CAE",PI 6.1,PLO6,PI 6.1,3,1.0,"['pháp', 'hình', 'dựng', 'tích', 'phương', 'đúng', 'dụng', 'phân', 'chọn']",[]
CLO 3_ME2256,ME2256,"Có tư duy tính toán, thiết kế, mô phỏng hoạt động của sản phẩm",PI 10.2,PLO10,PI 10.2,3,1.0,"['động', 'toán', 'tính', 'hoạt', 'thiết', 'phỏng', 'phẩm']",[]
CLO 4_ME2256,ME2256,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_ME3234,ME3234,Hiểu rõ các kỹ thuật lập trình ngôn ngữ cho hệ PLC trên nền ngôn ngữ lập trình cơ bản,PI 4.2,PLO4,PI 4.2,2,1.0,"['hiểu', 'thuật', 'ngôn', 'trình', 'trên']",[]
CLO 2_ME3234,ME3234,"Sử dụng và lựa chọn đúng các phương thức tính toán, thiết kế hệ thống điều khiển logic và điều khiển quá trình kỹ thuật",PI 6.1,PLO6,PI 6.1,3,1.0,"['toán', 'tính', 'phương', 'thuật', 'đúng', 'điều', 'dụng', 'thức', 'thiết', 'khiển']",[]
CLO 3_ME3234,ME3234,Có tư duy phân tích và sử dụng phần mềm lập trình và mô phỏng PLC,PI 10.2,PLO10,PI 10.2,3,1.0,"['phần', 'tích', 'dụng', 'phân', 'phỏng', 'trình']",[]
CLO 4_ME3234,ME3234,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_ME3260,ME3260,Hiểu rõ được vai trò của công tác an toàn trong lao động và môi trường công nghiệp,PI 4.3,PLO4,PI 4.3,2,1.0,"['động', 'nghiệp', 'hiểu', 'công', 'trường', 'toàn']",[]
CLO 2_ME3260,ME3260,Sử dụng và lựa chọn được các phương án phù hợp liên quan đến an toàn lao động tại nơi làm việc,PI 6.1,PLO6,PI 6.1,3,1.0,"['động', 'việc', 'phương', 'dụng', 'quan', 'chọn', 'toàn', 'liên']",[]
CLO 3_ME3260,ME3260,"Có tư duy tính toán, phòng tránh được các tai nạn liên quan đến an toàn lao động trong sản xuất thực tế",PI 11.3,PLO11,PI 11.3,3,1.0,"['động', 'xuất', 'thực', 'toán', 'phòng', 'tính', 'quan', 'toàn', 'tránh', 'liên']",[]
CLO 4_ME3260,ME3260,"Có ý thức, thái độ học tập nghiêm túc, tích cực",PI 12.4,PLO12,PI 12.4,2,1.0,"['tích', 'nghiêm', 'thức', 'thái']",[]
CLO 1_AET3261,AET3261,Hiểu và phân tích được các loại động cơ đốt trong và nguyên lý làm việc của động cơ;,"PI4.1
PI4.2",PLO4,"PI4.1
PI4.2",2,1.0,"['động', 'hiểu', 'việc', 'tích', 'phân', 'loại', 'nguyên']",[]
CLO 2_AET3261,AET3261,"Phân tích được đồ thị công, đồ thi pha phối khí của động cơ đốt trong. Tính toán, xây dựng được các biểu thức, đồ thị biểu diễn quy luật dịch chuyển của cơ cấu trục khuỷu - thanh truyền.","PI11.1
PI11.2",PLO11,"PI11.1
PI11.2",3,1.0,"['động', 'trục', 'khuỷu', 'toán', 'thanh', 'công', 'tích', 'tính', 'dựng', 'diễn']",[]
CLO 3_AET3261,AET3261,"Nắm được cấu tạo cụ thể các chi tiết trong các cơ cấu các hệ thống của động cơ đốt trong. Nguyên tắc hoạt động của cơ cấu, hệ thống.","PI6.1
PI6.2",PLO6,"PI6.1
PI6.2",2,1.0,"['động', 'tiết', 'hoạt', 'thống', 'nguyên']",[]
CLO 4_AET3261,AET3261,"Kỹ năng chuyên nghiệp và phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ, kỹ năng làm việc hiệu quả trong nhóm đa ngành nghề","PI12.3 
PI12.4",PLO12,"PI12.3 
PI12.4",2,1.0,"['hình', 'hiệu', 'nghiệp', 'chuyên', 'việc', 'chất', 'năng', 'thiết', 'nhân', 'nghề']",[]
CLO 1_AET3262,AET3262,"Hiểu được động học, động lực học bánh xe ô, xác định lực cản, cân bằng lực và công suất khi ô tô di chuyển",PI4.1,PLO4,PI4.1,1,1.0,"['động', 'hiểu', 'công', 'chuyển', 'bằng', 'bánh', 'suất', 'định']",[]
CLO 2_AET3262,AET3262,Tính toán sức kéo ô tô trong điều kiện cho trước,PI5.1,PLO5,PI5.1,3,1.0,"['kiện', 'toán', 'tính', 'điều', 'trước']",[]
CLO 3_AET3262,AET3262,"Tính toán tính ổn định, kinh tế và khả năng thông qua của xe","PI5.1
PI5.2",PLO5,"PI5.1
PI5.2",3,1.0,"['kinh', 'toán', 'tính', 'năng', 'thông', 'định']",[]
CLO 4_AET3262,AET3262,"Có ý thức, thái độ cầu thị, nghiêm túc, thực hiện đúng các nội quy, quy chế. Từ đó, hình thành tác phong làm việc chuyên nghiệp.","PI12.3
PI12.4",PLO12,"PI12.3
PI12.4",3,1.0,"['hình', 'nghiêm', 'nghiệp', 'việc', 'thái', 'chuyên', 'đúng', 'phong', 'thức', 'thực']",[]
CLO 1_AET3216,AET3216,"Hiểu và tính toán được chu trình công tác, động học và động lực học, kiểm nghiệm bền các chi tiết cơ bản của động cơ.",PI4.2,PLO4,PI4.2,2,1.0,"['động', 'toán', 'hiểu', 'công', 'tính', 'tiết', 'trình', 'nghiệm', 'kiểm']",[]
CLO 2_AET3216,AET3216,"Tổng hợp, xây dựng các bản vẽ theo tiêu chuẩn",PI5.2,PLO5,PI5.2,6,1.0,"['chuẩn', 'dựng', 'tiêu', 'theo', 'tổng']",[]
CLO 3_AET3216,AET3216,"Kỹ năng thuyết trình, bảo vệ đồ án",PI10.1,PLO10,PI10.1,2,1.0,"['năng', 'thuyết', 'trình']",[]
CLO 4_AET3216,AET3216,"Kỹ năng chuyên nghiệp và phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ: Lập luận, phân tích và giải quyết các vấn đề kỹ thuật.",PI12.3,PLO12,PI12.3,3,1.0,"['hình', 'luận', 'giải', 'nghiệp', 'chuyên', 'tích', 'chất', 'thuật', 'năng', 'phân']",[]
CLO 1_AET3221,AET3221,"Hiểu rõ cơ sở lý thuyết về chẩn đoán kỹ thuật ô tô, công nghệ chẩn đoán, công tác kiểm định kỹ thuật ô tô ở Việt Nam",PI .6.1,,PI .6.1,2,1.0,"['đoán', 'thuyết', 'chẩn', 'hiểu', 'công', 'thuật', 'việt', 'nghệ', 'kiểm', 'định']",[]
CLO 2_AET3221,AET3221,Sử dụng và lựa chọn các loại thiết bị chẩn đoán phù hợp dùng trong chẩn đoán và kiểm định kỹ thuật ô tô,PI .5.2,,PI .5.2,3,1.0,"['đoán', 'chẩn', 'thuật', 'dụng', 'loại', 'thiết', 'dùng', 'chọn', 'kiểm', 'định']",[]
CLO 3_AET3221,AET3221,Có tư duy tổng hợp để có thể thực hiện quy trình công nghệ kiểm định kỹ thuật ô tô,PI .8.2,,PI .8.2,3,1.0,"['công', 'tổng', 'thuật', 'nghệ', 'trình', 'thực', 'kiểm', 'định', 'hiện']",[]
CLO 4_AET3221,AET3221,"Kỹ năng chuyên nghiệp, phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ, kỹ năng làm việc hiệu quả trong nhóm đa ngành nghề.","PI12.3
PI12.4",PLO12,"PI12.3
PI12.4",2,1.0,"['hình', 'hiệu', 'nghiệp', 'chuyên', 'việc', 'chất', 'năng', 'thiết', 'nhân', 'nghề']",[]
CLO 1_AET3222,AET3222,Hiểu rõ cách thức sửa chữa và bảo dưỡng ô tô,PI .10.1,,PI .10.1,2,1.0,"['dưỡng', 'hiểu', 'thức', 'chữa', 'cách']",[]
CLO 2_AET3222,AET3222,"Sử dụng và lựa chọn được quy trình công nghệ bảo dưỡng, sửa chữa các hệ thống, tổng thành cho từng loại xe khác nhau.",PI .5.1,,PI .5.1,3,1.0,"['khác', 'dưỡng', 'công', 'dụng', 'nhau', 'loại', 'nghệ', 'trình', 'chọn', 'thống']",[]
CLO 3_AET3222,AET3222,"Có tư duy về sửa chữa bảo dưỡng xe, các phương pháp nâng cao thuổi thọ và tuổi bền của xe",PI .8.1,,PI .8.1,2,1.0,"['pháp', 'tuổi', 'dưỡng', 'phương', 'chữa', 'nâng', 'thuổi']",[]
CLO 4_AET3222,AET3222,"Kỹ năng chuyên nghiệp, phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ, kỹ năng làm việc hiệu quả trong nhóm đa ngành nghề.","PI12.3
PI12.4",PLO12,"PI12.3
PI12.4",2,1.0,"['hình', 'hiệu', 'nghiệp', 'chuyên', 'việc', 'chất', 'năng', 'thiết', 'nhân', 'nghề']",[]
CLO 1_AET3217,AET3217,"Hiểu và tính toán được các cơ cấu, hệ thống cơ bản của gầm ô tô.",PI5.2,PLO5,PI5.2,2,1.0,"['thống', 'toán', 'hiểu', 'tính']",[]
CLO 2_AET3217,AET3217,"Tổng hợp, xây dựng các bản vẽ theo tiêu chuẩn",PI10.1,PLO10,PI10.1,6,1.0,"['chuẩn', 'dựng', 'tiêu', 'theo', 'tổng']",[]
CLO 3_AET3217,AET3217,"Kỹ năng thuyết trình, bảo vệ đồ án",PI11.1,PLO11,PI11.1,2,1.0,"['năng', 'thuyết', 'trình']",[]
CLO 4_AET3217,AET3217,"Kỹ năng chuyên nghiệp và phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ: Lập luận, phân tích và giải quyết các vấn đề kỹ thuật.",PI12.3,PLO12,PI12.3,3,1.0,"['hình', 'luận', 'giải', 'nghiệp', 'chuyên', 'tích', 'chất', 'thuật', 'năng', 'phân']",[]
CLO 1_AET3224,AET3224,"Mô tả các cơ cấu, hệ thống cơ điện tử trên ô tô, nguyên lý hoạt động của các cơ cấu, hệ thống cơ điện tử ôtô.","PI4.1
PI4.2",PLO4,"PI4.1
PI4.2",2,1.0,"['động', 'hoạt', 'thống', 'điện', 'nguyên', 'trên']",[]
CLO 2_AET3224,AET3224,"Tính toán giải thích  các hiện tượng, nguyên nhân hư hỏng của các cơ cấu, hệ thống cơ điện tử ôtô","PI5.1
PI5.2",PLO5,"PI5.1
PI5.2",2,1.0,"['giải', 'toán', 'tượng', 'tính', 'nhân', 'hỏng', 'thống', 'thích', 'điện', 'nguyên']",[]
CLO 3_AET3224,AET3224,"Áp dụng các kiến thức đã học để kiểm tra, sửa chữa các hệ thống cơ điện tử ô tô","PI6.1
PI6.2",PLO6,"PI6.1
PI6.2",3,1.0,"['điện', 'dụng', 'thức', 'thống', 'chữa', 'kiểm', 'kiến']",[]
CLO 4_AET3224,AET3224,"Kỹ năng chuyên nghiệp và phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ, kỹ năng làm việc hiệu quả trong nhóm đa ngành nghề","PI12.3
PI12.4",PLO12,"PI12.3
PI12.4",2,1.0,"['hình', 'hiệu', 'nghiệp', 'chuyên', 'việc', 'chất', 'năng', 'thiết', 'nhân', 'nghề']",[]
CLO 1_,,"Hiểu rõ về cấu tạo, các bộ phận chính trên ô tô điện, hiểu rõ về pin và hệ thống điều khiển trên ô tô điện",PI .4.1,,PI .4.1,2,1.0,"['hiểu', 'điều', 'chính', 'khiển', 'thống', 'phận', 'điện', 'trên']",[]
CLO 2_,,"Sử dụng và lựa chọn các công cụ để tính toán lựa chọn động lực học xe điện, tính toán về pin, quãng đường xe đi được",PI .10.1,,PI .10.1,3,1.0,"['động', 'đường', 'toán', 'công', 'tính', 'quãng', 'dụng', 'chọn', 'điện']",[]
CLO 3_,,"Có tư duy về bộ điều khiển của xe điện, xây dụng bộ điều khiển dựa trên những công cụ phần mềm matlap",PI .6.2,,PI .6.2,2,1.0,"['matlap', 'phần', 'những', 'công', 'điều', 'dụng', 'khiển', 'điện', 'trên']",[]
CLO 4_,,"Kỹ năng chuyên nghiệp, phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ, kỹ năng làm việc hiệu quả trong nhóm đa ngành nghề.","PI12.3
PI12.4",PLO12,"PI12.3
PI12.4",2,1.0,"['hình', 'hiệu', 'nghiệp', 'chuyên', 'việc', 'chất', 'năng', 'thiết', 'nhân', 'nghề']",[]
CLO 1_ME3270,ME3270,"Giải thích được sự ảnh hưởng của dụng cụ cắt, vật liệu gia công đến chất lượng bề mặt chi tiết.",PI 4.1,PLO4,PI 4.1,2,1.0,"['giải', 'công', 'chất', 'hưởng', 'lượng', 'tiết', 'dụng', 'thích', 'liệu']",[]
CLO 2_ME3270,ME3270,Sử dụng các kiến thức đã học để đọc bản vẽ chi tiết; phân tích chi tiết đưa được ra quy trình công nghệ; xác định được các dạng sai hỏng trong gia công nguội nguyên nhân và biện pháp khắc phục,PI 4.3,PLO4,PI 4.3,1,1.0,"['công', 'phân', 'thức', 'hỏng', 'dạng', 'định', 'tích', 'nguội', 'tiết', 'trình']",[]
CLO 3_ME3270,ME3270,"Sử dụng thành thạo các dụng cụ cầm tay, các dụng cụ đo kiểm để gia công nguội và để kiểm tra sản phẩm cơ khí theo các tiêu chuẩn kỹ thuật",PI 5.1,PLO5,PI 5.1,3,1.0,"['chuẩn', 'công', 'nguội', 'thuật', 'tiêu', 'dụng', 'theo', 'thạo', 'phẩm', 'kiểm']",[]
CLO 4_ME3270,ME3270,Lựa chọn được phương pháp gia công thích hợp để đạt được các chỉ tiêu yêu cầu kỹ thuật,PI 10.2,PLO10,PI 10.2,2,1.0,"['pháp', 'công', 'phương', 'thuật', 'tiêu', 'chọn', 'thích']",[]
CLO 5_ME3270,ME3270,"Kiểm tra, phát hiện và đưa ra biện pháp khắc phục được các dạng sai hỏng khi gia công nguội",PI 11.1,PLO11,PI 11.1,4,1.0,"['pháp', 'công', 'nguội', 'phục', 'dạng', 'khắc', 'hỏng', 'kiểm', 'biện', 'phát']",[]
CLO 6_ME3270,ME3270,Sửa chữa được các dụng cụ gia công bằng tay,PI 11.2,PLO11,PI 11.2,2,1.0,"['bằng', 'chữa', 'công', 'dụng']",[]
CLO 7_ME3270,ME3270,"Rèn luyện tính cẩn thận, tự giác, nghiêm túc, trong công việc.",PI 12.3,PLO12,PI 12.3,2,1.0,"['nghiêm', 'giác', 'việc', 'tính', 'công', 'thận', 'luyện']",[]
CLO 1_ME3271,ME3271,"Vận dụng kiến thức khoa học tự nhiên để tính toán, lựa chọn chế độ hàn cho phù hợp.",PI 4.1,PLO4,PI 4.1,3,1.0,"['toán', 'tính', 'khoa', 'dụng', 'thức', 'chọn', 'nhiên', 'kiến']",[]
CLO 2_ME3271,ME3271,"Sử dụng các kiến thức đã học để đọc bản vẽ kết cấu hàn; phân tích vật liệu hàn; chuẩn bị thiết bị, phôi liệu hàn; các vị trí hàn, kết cấu hàn; phát hiện được khuyết tật mối hàn.",PI 4.3,PLO4,PI 4.3,3,1.0,"['phát', 'chuẩn', 'tích', 'phôi', 'dụng', 'phân', 'khuyết', 'thức', 'thiết', 'liệu']",[]
CLO 3_ME3271,ME3271,"Chuẩn bị, kiểm tra được tình trạng của thiết bị, dụng cụ, vật liệu hàn cho phù hợp với từng phương pháp hàn.",PI 4.3,PLO4,PI 4.3,4,1.0,"['pháp', 'trạng', 'chuẩn', 'phương', 'liệu', 'dụng', 'thiết', 'từng', 'tình', 'kiểm']",[]
CLO 4_ME3271,ME3271,"Tính toán, lựa chọn và điều chỉnh được chế độ hàn cho phương pháp hàn điện hồ quang tay.",PI 6.1,PLO6,PI 6.1,3,1.0,"['pháp', 'chỉnh', 'toán', 'tính', 'phương', 'điều', 'quang', 'chọn', 'điện']",[]
CLO 5_ME3271,ME3271,"Hàn được các mối hàn bằng giáp mối, hàn bằng lấp góc trên máy hàn điện hồ quang tay, đảm bảo yêu cầu kỹ thuật.",PI 6.1,PLO6,PI 6.1,2,1.0,"['giáp', 'thuật', 'bằng', 'quang', 'điện', 'trên']",[]
CLO 6_ME3271,ME3271,"Kiểm tra, phát hiện và đưa ra biện pháp khắc phục được các dạng khuyết tật mối hàn.",PI 11.2,PLO11,PI 11.2,4,1.0,"['pháp', 'phục', 'dạng', 'khuyết', 'khắc', 'kiểm', 'biện', 'phát', 'hiện']",[]
CLO 7_ME3271,ME3271,"Rèn luyện tính cẩn thận, tự giác, nghiêm túc, trong công việc hàn.",PI 12.3,PLO12,PI 12.3,2,1.0,"['nghiêm', 'giác', 'việc', 'tính', 'công', 'thận', 'luyện']",[]
CLO 1_ME3263,ME3263,"Trình bày và hiểu được các kiến thức về quy trình bảo dưỡng kỹ thuật, tháo lắp cơ cấu, hệ thống và sửa chữa động cơ;",PI5.1,PLO5,PI5.1,2,1.0,"['động', 'dưỡng', 'hiểu', 'thuật', 'thức', 'trình', 'thống', 'tháo', 'chữa', 'kiến']",[]
CLO 2_ME3263,ME3263,Thực hành kỹ thuật về bảo dưỡng và sửa chữa động cơ,PI8.1,PLO8,PI8.1,2,1.0,"['động', 'dưỡng', 'thuật', 'hành', 'thực', 'chữa']",[]
CLO 3_ME3263,ME3263,"Giải thích và lập được quy trình về kiểm tra bảo dưỡng sữa chữa động cơ. Sử dụng và lựa chọn các trang thiết bị chuyên dụng để chẩn đoán, bảo dưỡng, sửa chữa động cơ",PI6.1,PLO6,PI6.1,2,1.0,"['trang', 'giải', 'động', 'dưỡng', 'đoán', 'chuyên', 'chẩn', 'dụng', 'thiết', 'trình']",[]
CLO 4_ME3263,ME3263,"Kỹ năng chuyên nghiệp và phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ, kỹ năng làm việc hiệu quả trong nhóm đa ngành nghề","PI 12.3
PI 12.4",PLO12,"PI 12.3
PI 12.4",2,1.0,"['hình', 'hiệu', 'nghiệp', 'chuyên', 'việc', 'chất', 'năng', 'thiết', 'nhân', 'nghề']",[]
CLO 1_,,"Nắm chắc, phân tích được chức năng, kết cấu, lắp ráp, tình hình làm việc, hoạt động của các cụm, hệ thống, cơ cấu trên xe ô tô",PI5.1,PLO5,PI5.1,4,1.0,"['hình', 'động', 'chức', 'việc', 'tích', 'hoạt', 'năng', 'phân', 'thống', 'tình']",[]
CLO 2_,,"Phân thích được các hiện tượng, nguyên nhân hư hỏng các cụm, hệ thống, cơ cấu trên xe ô tô",PI8.1,PLO8,PI8.1,2,1.0,"['trên', 'tượng', 'phân', 'nhân', 'hỏng', 'thống', 'thích', 'nguyên', 'hiện']",[]
CLO 3_,,"Áp dụng các kiến thức đã học để chẩn đoán, kiểm tra, bảo dưỡng, sửa chữa các cụm, hệ thống, cơ cấu trên xe ô tô.",PI6.1,PLO6,PI6.1,3,1.0,"['đoán', 'dưỡng', 'chẩn', 'dụng', 'thức', 'thống', 'chữa', 'kiểm', 'kiến', 'trên']",[]
CLO 4_,,"Kỹ năng chuyên nghiệp và phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ, kỹ năng làm việc hiệu quả trong nhóm đa ngành nghề","PI 12.3
PI12.4",PLO12,"PI 12.3
PI12.4",2,1.0,"['hình', 'hiệu', 'nghiệp', 'chuyên', 'việc', 'chất', 'năng', 'thiết', 'nhân', 'nghề']",[]
CLO 1_,,"Mô tả được phương pháp tổ chức, quản lý điều hành; bố trí vận hành trang thiết bị, cơ sở vật chất của  các cơ sở kinh doanh, dịch vụ bảo dưỡng, sửa chữa.","PI4.1
PI4.2",PLO4,"PI4.1
PI4.2",4,1.0,"['trang', 'pháp', 'chức', 'kinh', 'dưỡng', 'doanh', 'phương', 'chất', 'điều', 'hành']",[]
CLO 2_,,"Áp dụng các kiến thức đã học để chẩn đoán, kiểm tra, bảo dưỡng, sửa chữa các cụm, hệ thống, cơ cấu trên xe ô tô; sử dụng được dụng cụ, thiết bị đúng yêu cầu; thực hiện được các biện pháp an toàn và vệ sinh công nghiệp.","PI11.1
PI11.2",PLO11,"PI11.1
PI11.2",3,1.0,"['đoán', 'dưỡng', 'công', 'đúng', 'thức', 'sinh', 'chữa', 'thống', 'toàn', 'kiểm']",[]
CLO 3_,,"Tổng hợp được các kiến thức lý thuyết, thực tế thu nhập được để hoàn thành các nội dung trong báo cáo thực tập; làm cơ sở lựa chọn đề tài tốt nghiệp, nội dung thực tâp tốt nghiệp.","PI8.1 
PI8.2",PLO8,"PI8.1 
PI8.2",6,1.0,"['thuyết', 'hoàn', 'nghiệp', 'nhập', 'dung', 'thức', 'chọn', 'thực', 'kiến', 'tổng']",[]
CLO 4_,,"Có phẩm chất đạo đức nghề nghiệp, tư duy sáng tạo, thích nghi với sự thay đổi của môi trường công việc, định hướng và tìm kiếm cơ hội phát triển nghề nghiệp trong bảo dưỡng, sửa chữa ô tô.","PI12.2 
PI12.3",PLO12,"PI12.2 
PI12.3",6,1.0,"['sáng', 'dưỡng', 'nghiệp', 'thay', 'việc', 'công', 'hướng', 'chất', 'kiếm', 'trường']",[]
CLO 1_ME3266,ME3266,"Hiểu rõ chức năng, cấu tạo hoạt động các trang bị điện điện tử trên ô tô","PI5.1
PI5.2",PLO5,"PI5.1
PI5.2",2,1.0,"['trang', 'động', 'chức', 'hiểu', 'hoạt', 'năng', 'điện', 'trên']",[]
CLO 2_ME3266,ME3266,"Tháo lắp, bảo dưỡng kiểm tra các cụm chi tiết của hệ thống điện động cơ, điện thân xe.",PI6.1,PLO6,PI6.1,4,1.0,"['động', 'dưỡng', 'điện', 'tiết', 'thân', 'thống', 'kiểm', 'tháo']",[]
CLO 3_ME3266,ME3266,Có thể sử dụng thiết bị chuyên dùng để chấn đoán hư hỏng các thiết bị điện trên ô tô.,PI10.1,PLO10,PI10.1,3,1.0,"['đoán', 'chuyên', 'dụng', 'thiết', 'dùng', 'hỏng', 'chấn', 'điện', 'trên']",[]
CLO 4_ME3266,ME3266,"Kỹ năng chuyên nghiệp và phẩm chất cá nhân cần thiết để hình thành năng lực tự chủ, kỹ năng làm việc hiệu quả trong nhóm đa ngành nghề","PI 12.3
PI 12.4",PLO12,"PI 12.3
PI 12.4",2,1.0,"['hình', 'hiệu', 'nghiệp', 'chuyên', 'việc', 'chất', 'năng', 'thiết', 'nhân', 'nghề']",[]
CLO 1_ME3267,ME3267,Hiểu rõ cấu tạo và nguyên lý của hệ thống điều hòa không khí trên ô t.ô,PI 6.2,PLO6,PI 6.2,2,1.0,"['trên', 'hiểu', 'điều', 'thống', 'nguyên', 'không']",[]
CLO 2_ME3267,ME3267,"Sử dụng và lựa chọn các trang thiết bị chuyên dung để chẩn đoán, bảo dưỡng, sửa chữa hệ thống điều hòa không khí trên ô tô",PI 8.1,PLO8,PI 8.1,3,1.0,"['trang', 'đoán', 'trên', 'dưỡng', 'chuyên', 'chẩn', 'điều', 'dụng', 'dung', 'thiết']",[]
CLO 3_ME3267,ME3267,"Có tư duy về việc cải tiến, nâng cao tuổi bền sử dụng cho các vật tư thiết bị hệ thống điều hòa không khí trên ô tô.",PI 10.2,PLO10,PI 10.2,3,1.0,"['trên', 'tuổi', 'việc', 'tiến', 'điều', 'dụng', 'thiết', 'thống', 'không', 'nâng']",[]
